title,address,floor,madori,fee /yen,management_fee /yen,deposit /yen,gratuity /yen,menseki /m2
東京メトロ半蔵門線 半蔵門駅 18階建 築5年,東京都千代田区一番町,8階,3LDK,500000,57000,1000000,500000,94.24
東京メトロ半蔵門線 半蔵門駅 18階建 築5年,東京都千代田区一番町,6階,3LDK,520000,57600,1040000,520000,95.23
ＪＲ総武線 市ケ谷駅 9階建 築42年,東京都千代田区九段南３,3階,ワンルーム,78000,5000,78000,78000,21.41
コスモグラシア内神田,東京都千代田区内神田２,6階,1LDK,194000,15000,0,0,35.09
コスモグラシア内神田,東京都千代田区内神田２,6階,1LDK,194000,20000,0,0,35.09
コスモグラシア内神田,東京都千代田区内神田２,7階,2LDK,253000,20000,0,0,47.6
コスモグラシア内神田,東京都千代田区内神田２,7階,2LDK,253000,20000,0,0,47.54
ディームス大手町ノース,東京都千代田区神田多町２,11階,1LDK,197000,12000,197000,197000,37.91
ディームス大手町ノース,東京都千代田区神田多町２,8階,1LDK,224000,15000,224000,0,40.83
ディームス大手町ノース,東京都千代田区神田多町２,11階,2LDK,281000,15000,281000,281000,50.03
ディームス大手町ノース,東京都千代田区神田多町２,3階,2LDK,284000,15000,284000,0,50.0
ディームス大手町ノース,東京都千代田区神田多町２,8階,2LDK,289000,15000,289000,0,50.0
ルフォンプログレ神田プレミア,東京都千代田区神田須田町１,5階,1LDK,180000,15000,180000,0,30.53
ルフォンプログレ神田プレミア,東京都千代田区神田須田町１,6階,1LDK,181000,15000,181000,0,30.53
ルフォンプログレ神田プレミア,東京都千代田区神田須田町１,10階,2LDK,255000,20000,255000,0,41.96
ルフォンプログレ神田プレミア,東京都千代田区神田須田町１,2階,2LDK,275000,20000,275000,0,47.45
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,2階,1LDK,182000,18000,182000,0,38.99
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,4階,1LDK,182000,18000,182000,0,38.99
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,3階,1LDK,185000,18000,185000,0,38.99
